[odo1] [odo2] [x] [y] 
-2.300971 -4.256797 -0.162907 0.317327
-4.218447 -4.755341 -0.164018 0.317115
-3.067962 -4.755341 -0.165679 0.316802
-1.764078 -4.295146 -0.166972 0.316561
-1.764078 -3.758253 -0.167844 0.316402
-1.303884 -3.758253 -0.168644 0.316259
-1.303884 -3.834952 -0.169363 0.316133
-2.416020 -3.834952 -0.170078 0.316010
-2.799515 -4.371845 -0.170955 0.315862
-2.799515 -4.333496 -0.171952 0.315697
-2.109224 -4.333496 -0.172969 0.315530
-1.649029 -4.755341 -0.173868 0.315386
-1.649029 -4.755341 -0.174777 0.315243
-2.070874 -5.368933 -0.175657 0.315109
-2.607767 -5.867476 -0.176907 0.314926
-2.607767 -5.867476 -0.178085 0.314760
-2.722816 -5.714078 -0.179277 0.314598
-2.722816 -4.985437 -0.180472 0.314442
-2.147573 -4.985437 -0.181557 0.314304
-1.994175 -3.873302 -0.182560 0.314180
-1.994175 -4.065049 -0.183439 0.314075
-2.761165 -4.065049 -0.184517 0.313950
-2.991262 -3.643204 -0.185707 0.313816
-3.336408 -3.336408 -0.186871 0.313687
-3.336408 -3.144661 -0.188081 0.313554
-3.298059 -3.336408 -0.189465 0.313401
-3.451457 -3.950001 -0.190634 0.313271
-4.065049 -3.950001 -0.192084 0.313112
-4.026700 -4.103399 -0.193648 0.312940
-3.834952 -4.103399 -0.195195 0.312771
-3.834952 -3.758253 -0.196739 0.312602
-3.681554 -3.719903 -0.198196 0.312443
-3.758253 -3.796602 -0.199583 0.312291
-3.643204 -3.796602 -0.201037 0.312133
-3.873302 -3.834952 -0.202484 0.311975
-3.911651 -4.103399 -0.203956 0.311815
-4.026700 -4.026700 -0.205496 0.311648
-4.026700 -4.103399 -0.207049 0.311479
-4.180098 -3.950001 -0.208646 0.311306
-4.180098 -3.758253 -0.210223 0.311135
-3.911651 -3.374758 -0.212086 0.310932
-4.141748 -3.336408 -0.213870 0.310735
-4.333496 -3.336408 -0.215377 0.310566
-4.141748 -3.259709 -0.216882 0.310394
-4.256797 -3.336408 -0.218312 0.310228
-4.295146 -3.298059 -0.219689 0.310066
-4.295146 -3.336408 -0.221037 0.309904
-4.141748 -3.336408 -0.222366 0.309743
-4.448545 -3.451457 -0.223690 0.309579
-4.525243 -3.566505 -0.225068 0.309407
-4.525243 -3.681554 -0.226533 0.309221
-4.832039 -3.604855 -0.227968 0.309036
-4.755341 -3.604855 -0.229491 0.308837
-4.832039 -3.566505 -0.231108 0.308622
-4.947088 -3.336408 -0.232600 0.308420
-4.947088 -3.221360 -0.234123 0.308209
-5.253884 -3.336408 -0.235579 0.308003
-5.215535 -3.336408 -0.237291 0.307754
-4.870389 -3.106311 -0.239012 0.307496
-4.486894 -3.183010 -0.240614 0.307250
-4.448545 -3.259709 -0.242119 0.307013
-4.103399 -3.106311 -0.243612 0.306775
-4.103399 -3.298059 -0.245020 0.306547
-4.103399 -3.834952 -0.246473 0.306308
-4.103399 -4.065049 -0.247994 0.306057
-4.141748 -4.065049 -0.249577 0.305795
-4.103399 -4.065049 -0.251192 0.305527
-4.295146 -3.911651 -0.252770 0.305266
-4.601943 -3.834952 -0.254417 0.304992
-4.601943 -3.834952 -0.256058 0.304717
-4.601943 -3.489806 -0.257620 0.304453
-4.295146 -2.991262 -0.259176 0.304186
-4.065049 -2.991262 -0.260606 0.303938
-4.218447 -2.837864 -0.261973 0.303697
-4.448545 -2.991262 -0.263317 0.303456
-4.448545 -3.144661 -0.264778 0.303190
-4.448545 -3.528156 -0.266293 0.302910
-4.256797 -3.528156 -0.267874 0.302613
-4.563593 -3.451457 -0.269382 0.302328
-4.908739 -3.451457 -0.270910 0.302036
-5.445632 -4.065049 -0.272548 0.301718
-4.755341 -4.180098 -0.274436 0.301345
-4.103399 -3.950001 -0.276167 0.301000
-4.103399 -3.643204 -0.277776 0.300678
-3.834952 -3.106311 -0.279260 0.300379
-4.141748 -3.029612 -0.280554 0.300118
-4.333496 -3.029612 -0.281963 0.299830
-4.448545 -3.643204 -0.283413 0.299530
-4.563593 -4.410195 -0.284947 0.299209
-4.486894 -4.793690 -0.286662 0.298849
-4.486894 -4.333496 -0.288488 0.298465
-3.834952 -4.141748 -0.290228 0.298100
-3.758253 -3.528156 -0.291734 0.297784
-3.451457 -3.528156 -0.293133 0.297491
-3.144661 -2.914563 -0.294504 0.297203
-3.413107 -2.952913 -0.295921 0.296905
-3.796602 -3.029612 -0.297139 0.296648
-4.295146 -3.298059 -0.298440 0.296372
-4.755341 -4.525243 -0.299925 0.296054
-4.755341 -5.368933 -0.301738 0.295664
-4.908739 -5.253884 -0.303683 0.295245
-4.371845 -5.330583 -0.305907 0.294769
-4.601943 -5.522331 -0.308205 0.294282
-4.601943 -5.062137 -0.310263 0.293849
-4.295146 -5.062137 -0.312036 0.293480
-4.218447 -4.793690 -0.313658 0.293144
-4.371845 -4.870389 -0.315241 0.292818
-4.371845 -4.870389 -0.316870 0.292485
-4.141748 -4.832039 -0.318486 0.292155
-4.295146 -5.100486 -0.320084 0.291832
-4.525243 -5.368933 -0.321902 0.291466
-3.911651 -5.330583 -0.323831 0.291082
-3.911651 -5.560680 -0.325704 0.290714
-3.834952 -5.253884 -0.327542 0.290359
-3.681554 -5.560680 -0.329266 0.290031
-3.796602 -5.368933 -0.331091 0.289691
-4.180098 -5.368933 -0.332918 0.289358
-4.065049 -5.292234 -0.334808 0.289019
-4.218447 -5.560680 -0.336629 0.288697
-4.141748 -5.253884 -0.338512 0.288369
-4.141748 -5.023787 -0.340369 0.288051
-4.026700 -5.215535 -0.342173 0.287746
-4.410195 -5.368933 -0.343948 0.287450
-4.141748 -5.368933 -0.345842 0.287138
-4.141748 -5.407282 -0.347686 0.286839
-4.103399 -5.407282 -0.349534 0.286544
-4.026700 -5.599030 -0.351368 0.286256
-4.026700 -5.330583 -0.353205 0.285973
-3.988350 -5.368933 -0.354855 0.285724
-3.988350 -5.368933 -0.356521 0.285477
-4.180098 -4.985437 -0.358125 0.285244
-4.180098 -4.525243 -0.359781 0.285006
-4.410195 -4.218447 -0.361324 0.284786
-4.563593 -4.218447 -0.362871 0.284566
-5.023787 -4.371845 -0.364554 0.284326
-4.985437 -4.525243 -0.366339 0.284069
-5.215535 -4.947088 -0.368207 0.283798
-5.215535 -4.908739 -0.370242 0.283501
-5.062137 -4.678641 -0.372167 0.283219
-4.908739 -4.371845 -0.374031 0.282945
-4.410195 -4.371845 -0.375838 0.282678
-4.256797 -4.601943 -0.377550 0.282423
-4.026700 -4.793690 -0.379275 0.282167
-3.911651 -4.832039 -0.380989 0.281914
-3.911651 -4.832039 -0.382700 0.281666
-3.796602 -4.947088 -0.384369 0.281426
-4.141748 -4.755341 -0.386048 0.281189
-4.065049 -4.601943 -0.387790 0.280946
-3.950001 -4.601943 -0.389823 0.280665
-4.295146 -4.716991 -0.391486 0.280438
